Name,sectors,cross-cutting sector,country,Province(s),District(s),city,"address: street, town, district, province, postal, country",web address,email,phone,contact person
Anglican Diocese of Central Zambia (Zambia),,,Zambia,"Central, Copperbelt",,,"PO Box 70172,, Ndola, Copperbelt,, Zambia",http://www.centralzambia.anglican.org/,adcznla@zamnet.zm,260-21-261-2231,
Anglican Diocese of Eastern Zambia (Zambia),,,Zambia,Eastern,,,"PO Box 510154, Chipata,, Central,, Zambia",http://www.easternzambia.anglican.org/,dioeastzm@zamtel.zm,260-21-622-1294,
Anglican Diocese of Luapula (Zambia),,,Zambia,Luapula,,,"702 Samfya Road, Mansa,, Luapula,, Zambia",http://www.capa-hq.org/,diopula@zamtel.zm,260-21-282-1680,
Anglican Diocese of Lusaka (Zambia),,,Zambia,Lusaka,,,"PO Box 30183,,, Lusaka,, Zambia",http://www.anglican-cathedral.org.zm/,angdiolu@zamnet.zm,260-21-125-4789,
Anglican Diocese of Northern Zambia (Zambia),,,Zambia,Northern,,,"PO Box 20798, Kitwe,, Copperbelt,, Zambia",http://www.northernzambia.anglican.org/,dionorth@zamnet.zm,260-21-222-3264,
ANPPCAN - African Network for the Prevention of and Protection Against Child Abuse and Neglect (Zambia),Youth,Child Abuse,Zambia,,,,"PO Box 30118,,, Lusaka,, Zambia",http://www.anppcan.org/,anppcan@zamnet.zm anppzam@yahoo.co.uk,260-21-123-1298,
Archdiocese of Kasama (Zambia) ,,,Zambia,Northern,,,"PO Box 410 143, Kasama,, Northern,, Zambia",http://www.archdioceseofkasama.org/index.html,archkasa@zamtel.zm,260-21-422-1451,
Archdiocese of Lusaka (Zambia) ,,,Zambia,Lusaka,,,"PO Box 32754, Thorn Park,, Lusaka,, Zambia",http://adl-zambia.org/,adldev@zamnet.zm,260-21-123-9257,
AWF (Zambia) - African Wildlife Foundation,Environment,Wildlife,Zambia,,,,"PO Box 61087, Livingstone,, Southern,, Zambia",http://www.awf.org/,livingstone@awfafrica.org,260-21-332-1516,
AZIEA - Alliance for Zambia Informal Economy Associations (Zambia) ,Business,Informal Workers,Zambia,,,,"PO Box 20652, Kitwe,, Copperbelt,, Zambia",,,260-21-222-2607,
British Council (Zambia),Education,"TEFL, Testing",Zambia,,,,"PO Box 34571,,, Lusaka,, Zambia",http://www.britishcouncil.org/,info@britishcouncil.org.zm,260-21-122-3602,
Camara Zambia,"Education, Business",Computers,Zambia,"Copperbelt, Southern",,,"c/o Kitwe College of Education Opposite MEF Mindolo,,, Kitwe,, Zambia",http://camara.ie/,,260-97-685-1769,
CAMFED Zambia,"Education, Youth","Girl's Education, ",Zambia,,,,"PO Box 51354,,, Lusaka,,  Zambia",http://www.camfed.org/,,260-21-125-4516,
CANCZ - Catholic Apostolic National Church of Zambia,Church,,Zambia,,,,"PO Box 30754,,, Lusaka,, Zambia",http://www.catholic-canc.us/cancz.html,ncazambia@yahoo.com webmaster@cancz.org,260-97-942- 9835,
CARE International (Zambia)  [M],Community Development,"Agriculture, HIV/AIDS, Small Business, Nutrition",Zambia,,,,"PO Box 36238,,, Lusaka,, Zambia",http://www.care.org/,info@carezam.org care-zambia@carezam.org,260-21-122-1687 260-21-122-1701,
"Caritas Zambia / CCJP - Catholic Commission for Justice, Development and Peace (Zambia)  [M]",Community Development,"Agriculture, HIV/AIDS, Small Business, Nutrition",Zambia,,,,"PO Box 31965,,,  Lusaka,, Zambia",http://www.caritaszambia.org.zm/,zecsap@zamnet.zm,260-21-122-7854,
Catholic Diocese of Chipata (Zambia)  [M],Church,,Zambia,Eastern,,,"PO Box 510 103, Chipata, Chipata, Eastern,, Zambia",http://www.ccjdp.org.zm/,,260-21-622-1375,
Catholic Diocese of Livingstone (Zambia)  [M],Church,,Zambia,Southern,,,"PO Box 60138, Livingstone,, Southern,, Zambia",http://www.ccjdp.org.zm/,seclivd@zamtel.zm,260-21-332-1667,
Catholic Diocese of Mansa (Zambia)  [M],Church,,Zambia,Luapula,,,"PO Box 710 036, Mansa,, Luapula,, Zambia",http://www.ccjdp.org.zm/,mansadiocese@zamtel.zm,260-21-282-1341,
Catholic Diocese of Mongu (Zambia)  [M],Church,,Zambia,Western,,,"PO Box 910 100, Mongu,, Western,, Zambia",http://www.ccjdp.org.zm/,mongdioc@zamtel.zm,260-21-722-1311,
Catholic Diocese of Monze (Zambia)  [M],Church,,Zambia,Southern,,,"PO Box 660195, Monze,, Southern,, Zambia",http://www.ccjdp.org.zm/,diomonze@zamtel.zm promonze@zamnet.zm,260-21-325-0316  260-21-325-0150,
Catholic Diocese of Mpika (Zambia)  [M],Church,,Zambia,Northern,,,"PO Box 450 007, Mpika,, Northern,, Zambia",http://www.diompika.org/,contact@diompika.org,260-21-437-0273,
Catholic Diocese of Ndola (Zambia)  [M],Church,,Zambia,Copperbelt,,,"PO Box 70244, Ndola,, Copperbelt,, Zambia",http://www.ccjdp.org.zm/,diondola@zamnet.zm,260-21-261-4013 260-21-261-2241,
Catholic Diocese of Solwezi (Zambia)  [M],Church,,Zambia,Northwestern,,,"PO Box 110 033, Solwezi,, North-West,, Zambia",http://www.ccjdp.org.zm/,dioceseofsol@zamtel.zm,260-21-882-1278,
CCD - Catholic Commission for Development (Zambia)  [M],Church,,Zambia,,,,"PO Box 31965,,, Lusaka,10101, Zambia",http://www.ccjdp.org.zm/,zecdev@zamnet.zm Ccdpop3@zamnet.zm,260-21-126-0980 260-21-126-1789,
CCZ - Council of Churches in Zambia,Health,"HIV/AIDS, Disaster Preparedness, Youth Development",Zambia,,,,"PO Box 30315,,, Lusaka,, Zambia",http://www.ccz.org.zm,info@ccz.org.zm ccz@zamnet.zm,260- 21-122-9551,
CDE - Centre for the Development of Enterprise (Zambia),Business,,Zambia,,,,"Postnet # 304 P/B E 891,,, Lusaka,, Zambia",http://www.cde.int/,cde@zamnet.zm,260-21-122-4288,
CeLIM Milano - Centro Laici Italiani per le Missioni (Zambia) ,Community Development,"HIV/AIDS prevention, rural development, vocational training and microfinance",Zambia,,,,"PO Box 33834,,, Lusaka,, Zambia",http://www.celim.it/,celim.zambia@celim.org.zm,260-21-123-9353,
CETZAM Opportunity Micro Finance Ltd. (Zambia) ,Business,"Microfinance, Finance",Zambia,,,,"Private Bag E760,,, Lusaka,, Zambia",http://www.cetzam.com.zm/,info@cetzam.com.zm,260-21-122-2991,
CFA - Commonwealth Forestry Association (Zambia),Environment,Forestry,Zambia,,,,"Zambian Branch Coordination Office Private Bag RW 359X, Ridgeway,, Lusaka, 15102, Zambia",http://www.cfa-international.org/,,260-96-643-9091,
CHAZ - Churches Health Association of Zambia,Health,,Zambia,,,,"PO Box 34511, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.chaz.org.zm/,,260-21-123-1266,
CHEP - Copperbelt Health Education Project (Zambia),Health,,Zambia,Copperbelt,,,"PO Box 23567, Kitwe,, Copperbelt,, Zambia",http://www.chep.org.zm/,chep@zamnet.zm,260-21-222-9512,
Cheshire Homes Society of Zambia,"Youth, Community Development",Disabilities,Zambia,,,,"PO Box 320059,,, Lusaka, 10101, Zambia",http://www.lcint.org/,,260-21-126-2614,
CHIN - Children in Need Network (Zambia),"Youth, Community Development","Children, Children's Rights",Zambia,"Lusaka, Luapula, Central",,,"PO Box 30118,,, Lusaka,, Zambia",http://www.chinzambia.org,chin@zamnet.zm,260-21-123-1298 260-97-718-5116,
CIDRZ - Centre for Infectious Diseases Research in Zambia,Health,,Zambia,,,,"5977 Benakale Road, Northmead, Lusaka, Lusaka, 10101, Zambia",http://www.cidrz.org/,info@cidrz.org,260-21-129-1629,
"CINDI - Children in Distress (Zambia), Kitwe Project",Youth,"HIV/AIDS, Nutrition, IGA, Education",Zambia,Copperbelt,Kitwe,,"PO Box 21663, Kitwe,, Copperbelt,, Zambia",http://www.cindi.org.zm,info@cindikitwe.org,260-21-222-9369,
CLGTI - Chalimbana Local Government Training Institute (Zambia),Community Development,"Management, Business",Zambia,Lusaka,Chongwe,,"PO Box 310093,,, Lusaka,, Zambia",http://www.mlgh.gov.zm/index.php?option=com_content&view=article&id=32&Itemid=41,,260-21-123-3791,
CLUSA - Co-operative League of the USA (Zambia) ,Agriculture,Food Security,Zambia,,,,"PO Box 510586,,, Chipata,, Zambia",http://www.ncba.coop/,clusa@zamnet.zm clusa-nrm@zamnet.zm ,260-21-123-5748 260-21-622-1312,
CMMB - Catholic Medical Mission Board (Zambia),Health,"HIV/AIDS, Malaria",Zambia,,,,"PO Box 320146 Woodlands Main, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.cmmb.org/,,260-21-126-4025,
COMESA - Common Market for Eastern and Southern Africa (Zambia),Business,,Zambia,,,,"PO Box 30051, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.comesa.int/,comesa@comesa.int postmaster@comesa.int,260-21-122-9726,
"COMESA - Common Market for Eastern and Southern Africa (Zambia), FNAWB - Federation of National Association of  Women in Business",Business,Gender,Zambia,,,,"PO Box 30051, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.comesa.int/,comesa@comesa.int,260-21-122-9726,
CONASA - Community Based Natural Resource Management and Sustainable Agriculture (Zambia),"Agriculture, Environment",,Zambia,,,,"PO  Box 36238,,, Lusaka,, Zambia",http://www.geocities.com/conasa_zm,rhino@zamnet.zm,260-21-125-0456 260-21-332-4391,
CRS (Zambia) - Catholic Relief Services ,Agriculture. Health,"Food Security, HIV/AIDS, Microfinance, Governance",Zambia,,,,"PO Box 38086,,, Lusaka,, Zambia",http://www.crs.org/,crszam@zamnet.zm crs@crszambia.org.zm,260-21-125-1312,
World Renew,"Health, Community Development, Agriculture","HIV/AIDS, Maternal Health, Sustainable Agriculture, Gender",Zambia,,,,", Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.worldrenew.net/,crwrc@zamnet.zm,,
CSPR - Civil Society for Poverty Reduction (Zambia),Business,,Zambia,"tern, Luapula, Southern, Western, Northwestern",,,"Postnet No. 302 Private Bag E891, Lusaka, Lusaka, Lusaka, 10101,  Zambia",http://www.cspr.org.zm/,cspr@zamnet.zm,260-21-129-0154,
CUTS International (Zambia) - Consumer Unity and Trust Society,Business,,Zambia,,,,"CUTS Africa Resource Centre PO Box 37113, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.cuts-international.org/,lusaka@cuts.org,260-21-122-4992,
CWB - Cinci Wa Babili (Zambia),"Agriculture, Environment",,Zambia,,,,"PO Box 1 Malole, Kasama,,Northern,, Zambia",,cinciwab@zamnet.zm cinci@zamtel.zm,260-21-422-1842,
"CWO - Christian World Outreach, Inc. (Zambia)","Health, Agriculture, Education, Youth and Community Development, Business",HIV/AIDS,Zambia,,,,"PO Box 70861, Ndola,, Copperbelt,, Zambia",http://www.cwomissions.org/,cwozambia@yahoo.com,260-96-692-5674,
DanChurchAid (Zambia),"Health, Agriculture, Youth and Community Development ",HIV/AIDS,Zambia,,,,"PO Box 34307, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.danchurchaid.org/,zambia@dca.dk,260-21-125-6744,
DAPP - Development Aid from People to People in Zambia,Community Development,"Agriculture, Water and Sanitation, Education, HIV/AIDS",Zambia,,,,"PO Box 70505, Ndola,, Copperbelt,, Zambia",http://www.dappzambia.org/,dappzambia@coppernet.zm,260-21-264-0264 260-21-264-0265,
Delegation of the European Commission (Zambia)  [M],"Health, Agriculture, Youth and Community Development, Business",,Zambia,,,,"PO Box 34871, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://europa.eu/,delegation-zambia@ec.europa.eu delegation-zambia@eeas.europa.eu ,260-21-125-0711 260-21-125-1140,
DFID (Zambia) - UK Department for International Development  [M],"Health, Education, Youth and Community Development, Business",,Zambia,,,,"PO Box 50050 15101 Ridgeway, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.dfid.gov.uk/,dfidzambia@dfid.gov.uk enquiry@dfid.gov.uk,260-21-142-3300,
Diakonia (Zambia),Health,,Zambia,,,,"PO Box 50423, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.diakonia.se/,cr@diakonia.org.zm,260-21-125-6509,
EAZ - Economics Association of Zambia,Business,,Zambia,,,,"PO Box 38006, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.eaz.org.zm/,eaz@eaz.org.zm,260-21-122-5305,
EBZEF - Elizabeth Bowers Zambia Education Fund (Zambia),Education,Girls Education,Zambia,Northwestern,Mwinilunga ,Lumwana,", Lumwana,, Northwestern, 10101, Zambia",http://www.bethsgirls.org/,,,
ECAZ - Environmental Conservation Association of Zambia,"Environment, Agriculture",,Zambia,,,,"PO Box 30395, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.ecaz.co.zm,ecaz@zamnet.zm,260-21-125-2649,
ECLOF International (Zambia)  [M],Business,,Zambia,,,,"PO Box 35708, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.eclof.org/,eclof@zamnet.zm,260-21-122-2194,
ECZ - Environmental Council of Zambia,"Environment, Agriculture",,Zambia,,,,"PO Box 35131, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.necz.org.zm/,ecz@necz.org.zm,260-21-125-4130,
EFZ - Evangelical Fellowship of Zambia  [M],Youth and Community Development,,Zambia,,,,"PO Box 33862, Lusaka, Lusaka, Lusaka, 10101,  Zambia",http://www.aeafrica.org/,evafeza@zamnet.zm,260-21-123-3243,
EGPAF (Zambia) - Elizabeth Glaser Pediatric AIDS Foundation,Health,,Zambia,,,,"PO Box 39111, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.pedaids.org/,,260-21-125-6481,
E-MFI - Empowerment Microfinance Institution Ltd. (Zambia)  [M],Business,Microfinance,Zambia,,,,"PO Box 183 / Sikoongo road plot 72, Siavonga,,Southern,, Zambia",,siavonga@celim.org.zm gwembe@celim.org.zm,260-21-151-1017 260-21-325-0833,
ERB - Energy Regulation Board (Zambia),"Enviornment, Business",,Zambia,,,,"PO Box 37631, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.erb.org.zm/,erb@erb.org.zm,260-21-123-6002,
ESAMI (Zambia) - Eastern and Southern Africa Management Institute,"Education, Youth and Community Development, Business",Gender,Zambia,,,,"PO Box 32132, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.esami-africa.org/,,260-21-122-2937,
"FANRPAN (Zambia) - Food, Agriculture and Natural Resources Policy Analysis Network","Agriculture, Environment",,Zambia,,,,"c/o ACF P/Bag 16 Woodlands, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.fanrpan.org/,zambianode@fanrpan.org,260-21-126-0767,
FAO (Zambia) - Food and Agriculture Organization  of the U.N.,"Agriculture, Environment",,Zambia,,,,"PO Box 30563, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.fao.org/,FAO-ZMB@field.fao.org FAO-ZM@fao.org,260-21-125-2277,
FAWE - Forum for African Women Educationalists (Zambia),"Education, Youth and Community Development",Gender,Zambia,,,,"PO Box 37695, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.fawe.org/,,260-21-125-4139,
FEWS Net (Zambia) - Famine Early Warning Systems Network,Agriculture,,Zambia,,,,"30G Sable Road, Kabulonga, Lusaka, Lusaka, 10101, Zambia",http://www.fews.net/,Zambia@fews.net,260-21-126-2750,
FHI - Family Health International (Zambia),"Health, Youth and Community Development, Education, Business",Gender,Zambia,,,,"PO Box 320303 Woodlands, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.fhi.org/,mwelsh@fhi360.org,260-21-125-7331,Michael Welsh
FHT - Family Health Trust (Zambia),Health,,Zambia,,,,"Private Bag E243, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.fht.org.zm/,fht@zamnet.zm,260-21-122-3589,
FINCA (Zambia) - Foundation for International Community Assistance  [M],Youth and Community Development,,Zambia,,,,"PO Box 50061, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.finca.org/,finca@finca.co.zm,260-21-125-1828,
FRA - Food Reserve Agency (Zambia),Agriculture,,Zambia,,,,"PO Box 34054, Lusaka, Lusaka, Lusaka,, Zambia",http://www.fra.org.zm/,fra@fra.org.zm,260-21-128-6097,
Freestop Enterprises (Zambia),Gender,,Zambia,,,,"PO Box 310171, Lusaka, Lusaka, Lusaka,, Zambia",http://www.freestop.com.zm,freestopping@yahoo.com,,
GART - Golden Valley Agriculture Research Trust (Zambia),Agriculture,,Zambia,,,,"PO Box 50834, Lusaka, Lusaka, Lusaka,, Zambia",http://www.gartzambia.org/,gart@zamnet.zm,260- 21-123-3739,
GIZ - German Agency for International Cooperation (Zambia)  [M],"Environmental, Business, Agriculture",,Zambia,,,,"Private Bag RW 37 X Ridgeway, Lusaka, Lusaka, Lusaka,, Zambia",http://www.giz.de/,giz-zambia@giz.de,260-21-129-1918 260-21-129-1920,
HCC - High Commission of Canada (Zambia),Embassy,,Zambia,,,,"PO Box 31313, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.dfait-maeci.gc.ca/,lsaka@international.gc.ca,260-21-125-0833,
Embassy of Denmark (Zambia),Embassy,,Zambia,,,,"PO Box 50299, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.um.dk/,lunamb@um.dk,260-21- 125-4277,
Embassy of Finland (Zambia),Embassy,,Zambia,,,,"PO Box 50819, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.finland.fi/,sanomat.lus@formin.fi,260-21-125-1988 260-21-125-2026,
Embassy of France (Zambia),Embassy,,Zambia,,,,"PO Box 30062, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.diplomatie.gouv.fr/,france@ambafrance-zm.org,260-21-125-1322 260-21-125-1340,
Embassy of Germany (Zambia),Embassy,,Zambia,,,,"PO Box 50120, Ridgeway, Lusaka,, 15101, Zambia",http://www.auswaertiges-amt.de/,info@lusaka.diplo.de,260-21-125-0644 260-21-125-1259,
Embassy of Ireland (Zambia),Embassy,,Zambia,,,,"Office Box 34923, Lusaka,,, 10101, Zambia",http://www.foreignaffairs.gov.ie/,iremb@zamnet.zm,260-21-129-1298,
Embassy of Italy (Zambia),Embassy,,Zambia,,,,"PO Box 50497, Lusaka,,, 10101, Zambia",http://www.esteri.it/,ambasciata.lusaka@esteri.it,260-21-125-0755,
Embassy of Japan (Zambia),Embassy,,Zambia,,,,"PO Box 34190, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.mofa.go.jp/,jez@zamnet.zm,260-21-125-1555 260-21-125-2036,
"Embassy of Norway (Zambia), NORAD - Norwegian Agency for Development Cooperation",Embassy,,Zambia,,,,"PO Box 34570, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.mfa.no/,emb.lusaka@mfa.no,260-21-125-2188 260-21-125-2625,
Embassy of South Korea (Zambia),Embassy,,Zambia,,,,"Private Bag E-351, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.mofat.go.kr/,,260-21-125-2924 260-21-125-2950,
Embassy of Sweden (Zambia),Embassy,,Zambia,,,,"PO Box 50264, Ridgeway, Lusaka, Lusaka, 10101, Zambia",http://www.ud.se/,ambassaden.lusaka@foreign.ministry.se,260-21-125-1711,
Embassy of the Netherlands (Zambia),Embassy,,Zambia,,,,"PO Box 31905, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.minbuza.nl/,lus@minbuza.nl,260-21-125-3819 260-21-125-3994,
John Hopkins University Center for Communications Programs (JHU-CCP),Health,"HIV/AIDS, Health Systems",Zambia,,,,"PO Box 39090, Rhodespark, Lusaka, Lusaka, 10101, Zambia",http://www.jhuccp.org/whatwedo/regions/africa/zambia,info@jhuccp.org,260-21-126-6020,
EAZ - Economics Association of Zambia,Business,,Zambia,,,,"1517 Manchinchi Road PO Box 38006, Northmead, Lusaka, Lusaka, 10101, Zambia",http://eaz.org.zm/,,260-21-125-0955,
HfH - Habitat for Humanity (Zambia)  [M],Community Development,Housing,Zambia,"Central, Lusaka, Copperbelt, Western",,,"PO Box 34987, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.habitatzam.org.zm/,hfhzam@zamnet.zm,260-21-123-2249,
HODI (Zambia)  [M],Community Development,"Agriculture, Community Groups",Zambia,,,,"PO Box 36548, Lusaka, Lusaka, Lusaka,, Zambia",http://www.hodi.org.zm/,admin@hodi.org.zm,260-21-129-0455,
HPI - Heifer Project International (Zambia)  [M],Agriculture,"Animal husbandry, small business",Zambia,,,,"PO Box 38237, Lusaka, Lusaka, Lusaka,, Zambia",http://www.heifer.org/,hpi@zamnet.zm,260-21-129-3285,
HRC - Human Rights Commission (Zambia),Community Development,Human Rights,Zambia,,,,"PO Box 33812, Lusaka, Lusaka, Lusaka,, Zambia",http://www.hrc.org.zm,hrc@zamnet.zm phrc@zamnet.zm,260-21-125-1357,
IAESTE - International Association for the Exchange of Students for Technical Experience (Zambia),Education,Student Exchange,Zambia,,,,"PO  Box 22332, Kitwe, Kitwe, Kitwe,, Zambia",http://www.iaeste.org/,zambiabw@iaeste.org,260-95-506-0223,
ICA - Institute of Cultural Affairs (Zambia),,,Zambia,,,,"PO Box 31454, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.ica-international.org/,,260-21-125-2293,
IDE (Zambia) - International Development Enterprises  [M],Agriculture,Irrigation,Zambia,,,,"PO Box 350040, Chilanga, Lusaka, Lusaka,, Zambia",http://www.ideorg.org/,admin@idezambia.org.zm  ,260-21-123-9001 260-97-74-0861,
IESC (Zambia) - International Executive Service Corps,Business,Business Development,Zambia,,,,"PO Box 32014, Lusaka, Lusaka, Lusaka,, Zambia",http://www.iesc.org/,iesczam@zamnet.zm iesc@zamnet.zm,260-21-125-5057 260-21-125-5051,
IFAD - International Fund for Agricultural Development (Zambia)  [M],Business,"Microfinance, Agriculture",Zambia,,,,"Plot 5 Addis Ababa Drive, Rhodes Park, Lusaka, Lusaka, 10101, Zambia",http://www.ifad.org/,"Dick Siame, d.siame@ifad.org ",260-21-125-2558,
ILO (Zambia) - International Labour Organization  [M],Business,"Worker's Rights, ",Zambia,,,,"PO Box 32181, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.ilo.org/,lusaka@ilo.org lusaka-admin@ilo.org.zm ,260-21-122-8071 260-21-122-8072,
International HIV/AIDS Alliance in Zambia,Health,"HIV/AIDS, OVC",Zambia,,,,"PO Box 33796, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.aidsalliance.org/,jessiem@alliancezambia.org.zm ,260-21-126-3088,
"IntraHealth International, Inc. (Zambia)",Health,"HIV/AIDS, OVC",Zambia,,,,"37/L/2 Middleway, Lusaka, Lusaka, Lusaka,, Zambia",http://www.intrahealth.org/,,260-97-788-7211,
IOM (Zambia) - International Organization for Migration,,,Zambia,,,,"PO Box 32036, Lusaka, Lusaka, Lusaka,, Zambia",http://www.iom.int/,iomlusaka@iom.int,260-21- 125-4055,
Irish Aid (Zambia)  [M],"Education, Health","Education, HIV/AIDS, Governance",Zambia,,,,"PO Box 34923, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.irishaid.gov.ie/,iremb@zamnet.zm,260-21-129-0650,
ISTT - In-Service Training Trust (Zambia),,,Zambia,,,,"PO Box 310201, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.istt.ac.zm/,istc@zamnet.zm,260-21-128-3695,
IUCN (Zambia) - International Union for Conservation of Nature and Natural Resources,Environment,"Conservation, Biodiversity",Zambia,,,,"PO Box 30395, Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.iucn.org/,ecaz@zamnet.zm,260-21-125-2649,
JCTR - Jesuit Centre for Theological Reflection (Zambia),,,Zambia,,,,"P.O Box 37774, Lusaka, Lusaka, Lusaka,, Zambia",http://www.jctr.org.zm/,infojctr@jesuits.org.zm,260-21-129-0410,
JICA - Japan International Cooperation Agency (Zambia),,,Zambia,,,,"PO Box 30027,  Lusaka, Lusaka, Lusaka, 10101, Zambia",http://www.jica.go.jp/,jicazb@jica.go.jp,260-21-125-4501,
JRS - Jesuit Refugee Service (Zambia),,,Zambia,,,,"PO Box 37960, Lusaka, Lusaka, Lusaka,, Zambia",http://www.jrs.net/,jrs@zamnet.zm,260-21-129-0912 260-21-128-6969,
Judiciary of Zambia,,,Zambia,,,,"PO Box 50067, Lusaka, Lusaka, Lusaka,, Zambia",http://www.judiciary.gov.zm/,cjels@zamnet.zm,260- 21-125-1884,
